Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776241955,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776241956,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776241957,150,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776241958,200,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776241959,250,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776241960,300,,Aggregated,0.000000,0.000000,4600,4600,4700,4700,4700,4700,4700,4700,4700,4700,4700,50,0,4600,4606.367345999897,4513.6781000001065,4717.982800000755,2673.0
1776241961,350,,Aggregated,0.000000,0.000000,4600,4600,4700,4700,4800,4800,4800,4800,4800,4800,4800,100,0,4600,4587.176321999923,4289.131100000304,4840.7279000002745,2673.0
1776241962,400,,Aggregated,7.000000,0.000000,4600,4600,4600,4700,4700,4800,4800,4800,4800,4800,4800,150,0,4600,4559.153575333283,4289.131100000304,4840.7279000002745,2673.0
1776241963,450,,Aggregated,14.166667,0.000000,4600,4700,4800,4800,4900,5000,5000,5000,5100,5100,5100,200,0,4600,4636.768297999972,4289.131100000304,5073.3030999999755,2673.0
1776241964,500,,Aggregated,21.142857,0.000000,4600,4700,4700,4800,4900,4900,5000,5000,5100,5100,5100,250,0,4600,4630.787505199985,4289.131100000304,5073.3030999999755,2673.0
1776241965,550,,Aggregated,21.142857,0.000000,4600,4700,4700,4800,4900,4900,5000,5000,5100,5100,5100,250,0,4600,4630.787505199985,4289.131100000304,5073.3030999999755,2673.0
1776241966,600,,Aggregated,25.888889,0.000000,4600,4700,4800,4900,5600,5800,6000,6000,6100,6100,6100,282,0,4600,4767.594800354565,4289.131100000304,6131.1943999990035,2673.0
1776241967,650,,Aggregated,25.000000,0.000000,4600,4700,4900,4900,5900,6200,6400,6500,6600,6600,6600,333,33,4600,4824.602530330294,4071.6511999999057,6581.510600000911,2408.108108108108
1776241968,700,,Aggregated,25.200000,0.000000,4700,4900,5900,6300,6400,6500,6600,6800,6900,6900,6900,444,140,4700,5066.511656981934,4053.5369999997783,6879.676700000346,1830.162162162162
1776241969,750,,Aggregated,30.000000,0.000000,4600,4800,5800,6300,6400,6700,6900,7200,7300,7300,7300,536,232,4600,5015.792153731278,4053.5369999997783,7261.347100000421,1516.0298507462687
1776241970,800,,Aggregated,39.600000,9.600000,4600,4800,5800,6300,6500,6800,7300,7500,7600,7600,7600,611,307,4600,4989.331212602235,4053.5369999997783,7632.844600000681,1329.937806873977
1776241971,850,,Aggregated,47.200000,16.800000,4600,4800,5700,6300,6500,6900,7300,7600,9200,9200,9200,657,350,4600,4971.181198477881,4053.5369999997783,9188.303999999334,1249.027397260274
1776241972,900,,Aggregated,51.200000,24.300000,4500,4700,5700,6300,6700,7600,9200,9400,10000,10000,10000,790,474,4500,5037.538366708822,4049.3249999999534,10086.697099999583,1069.2
1776241973,950,,Aggregated,52.700000,30.800000,4400,4700,5600,6300,7200,9200,9700,10000,11000,11000,11000,957,632,4400,5098.367444723054,4028.9800000009564,11278.976499999771,907.7586206896551
1776241974,1000,,Aggregated,57.400000,41.300000,4300,4600,4900,6300,7200,9300,10000,11000,11000,11000,11000,1102,777,4300,5069.424804900146,4028.9800000009564,11278.976499999771,788.3166969147005
1776241975,1000,,Aggregated,67.600000,50.500000,4200,4600,4800,6000,7200,9300,10000,11000,12000,12000,12000,1190,865,4200,5044.627200252074,4028.9800000009564,11946.39670000106,730.0210084033613
1776241976,1000,,Aggregated,73.800000,64.600000,4200,4600,4800,5800,7200,9300,10000,11000,12000,12000,12000,1306,981,4200,5010.262905895854,4028.9800000009564,11946.39670000106,665.1799387442572
1776241977,1000,,Aggregated,85.500000,78.000000,4200,4500,4700,5600,7200,9500,11000,11000,12000,12000,12000,1460,1135,4200,4987.329194246561,4028.9800000009564,11946.39670000106,595.0171232876712
1776241978,1000,,Aggregated,94.400000,87.100000,4200,4300,4700,4900,7200,9600,11000,11000,12000,12000,12000,1603,1278,4200,4964.240536369296,4028.9800000009564,12211.443199999849,541.9369931378665
1776241979,1000,,Aggregated,101.900000,99.400000,4200,4300,4600,4900,7200,9700,11000,12000,16000,16000,16000,1730,1402,4200,4964.277947745654,4028.9800000009564,16083.824499999537,506.7884393063584
1776241980,1000,,Aggregated,107.600000,105.100000,4100,4200,4600,4800,6900,9700,11000,12000,17000,17000,17000,1874,1543,4100,4939.731422785476,4028.9800000009564,17424.520099999427,472.12540021344716
1776241981,1000,,Aggregated,114.700000,112.600000,4100,4200,4600,4800,6900,10000,12000,13000,17000,18000,18000,1964,1632,4100,4964.322477647653,4028.9800000009564,17823.07369999944,451.85132382892056
1776241982,1000,,Aggregated,120.400000,117.900000,4100,4200,4600,4800,7300,10000,12000,14000,17000,18000,18000,2040,1707,4100,5009.070685980385,4028.9800000009564,17823.07369999944,436.3279411764706
1776241983,1000,,Aggregated,127.300000,124.600000,4100,4200,4600,4700,7300,10000,13000,14000,17000,18000,18000,2115,1781,4100,5008.475925768313,4028.9800000009564,17823.07369999944,422.11914893617023
1776241984,1000,,Aggregated,125.400000,123.000000,4100,4200,4500,4700,7600,11000,14000,15000,17000,18000,18000,2257,1923,4100,5062.591727115636,4028.9800000009564,17823.07369999944,418.73017279574657
